commit;CATEGORY;HAS_RULES;RULE_CLASSES;RULE_FILES;CORRECTNESS_RULES;CORRECTNESS_FAILURE_CATEGORY;RULE_COMPILE_SUCCESS;;;;
00a7cc31784ac4a9cc27d506a73ae589d6df36d6;COMPILATION_FAILURE;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
067f5d2c81ff87c90755f4ed48f62eb5faa8ecf9;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
07fad972bb884e9fa6143b4f870d08305811607d;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
0abf7148300f40a1da0538ab060552bca4a2f1d8;COMPILATION_FAILURE;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;COMPILATION_FAILURE;TRUE;DONE;;;Agent change wrong method
13fd75e233a5cb2771a6cb186c0decaed6d6545a;BUILD_SUCCESS;TRUE;HamcrestFix;javaparser-base-template/src/main/java/github/chains/HamcrestFix.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
165381d26b2c3d2278fde88c16f95807506451fe;BUILD_SUCCESS;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
17f2bcaaba4805b218743f575919360c5aec5da4;BUILD_SUCCESS;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
1820a966ae02ad8df44d0a0106cba65ceaf3aa95;BUILD_SUCCESS;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
1c0972fc3d905b9f2a305a78f8a158a0b3fd8639;COMPILATION_FAILURE;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;"The agent strictly applied the automated rule (downgrade of logback-classic from 1.4.4 to 1.2.11 in pay-adminusers/pom.xml) and performed only supporting read/build verification commands; no additional file modifications beyond the single recorded replacement are present in the log"
1cc7071371953a7880c2c2c3a5a32c36af7f88f9;BUILD_SUCCESS;TRUE;FixByteBuddyImports;javaparser-base-template/src/main/java/github/chains/FixByteBuddyImports.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
1ef97ea6c5b6e34151fe6167001b69e003449f95;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
249c3b394540fde4fcb72f66172af5e02b9c637e;DEPENDENCY_RESOLUTION_FAILURE;FALSE;;;FALSE;NO_RULES;FALSE;DONE;;;
24d4a90ec1b375751e71f33d18949405c9529d77;BUILD_SUCCESS;TRUE;Main;javaparser-base-template/src/main/java/github/chains/Main.java;TRUE;BUILD_SUCCESS;TRUE;DONE;;;
